Location,Delivery Charges,NCM Locations
KHUDUNABARI JHAPA,150.0,CHIDIKA
KOHALPUR,150.0,CHINCHU
KOLTI,150.0,CHISAPANI
KOTIHAWA,150.0,CHORMARA
KRISHNANAGAR,150.0,CHYAMA
KUSMA,150.0,DAIJEE
LAHAN,150.0,DAILEKH BAZAAR
LALBANDI,150.0,DAKAHA
LAMAHI,150.0,DALDALE
LAMKI,150.0,DAMAK
LAXMIPUR JHAPA,150.0,DAMAN
LEKHNATH,150.0,DAMAR CHOWK
LETANG,150.0,DAMAULI
LIWANG,150.0,DAMRABHITTA
LOTHAR CHITWAN,150.0,DANABARI
LUBHU LAMATAR,150.0,DANDA BAZAR
LUMBINI BAZAR,150.0,DARBANG MYAGDI
MADHUMALLA MORANG,150.0,DARCHULA KHALANGA
MADI,150.0,DARVAN PYUTHAN
MAHENDRANAGAR,150.0,DEDGAUN
MAHENDRANAGAR DHANUSA,150.0,DEVGHAT
MALANGWA,150.0,DEVTAL BENAULI
MALEKHU,150.0,DEWAHI GONAHI
MANAHARI MAKWANPUR,150.0,DEWANGANJ
MANGALSEN,150.0,DHADING BESI
MANIGRAM,150.0,DHAKDAI
MANMA,150.0,DHALKEBAR
MANTHALI,150.0,DHANAUJI
MARTADI,150.0,DHANGADHI
MASURIYA,150.0,DHANGADHIMAI
MEGHAULI CHITWAN,150.0,DHANKAUL
MEHELKUNA SURKHET,150.0,DHANKUTA BAZAAR
MELAMCHI,150.0,DHANUSADHAM
MIRCHAIYA,150.0,DHARAN
MOTIPUR,150.0,DHARKE
MOURIGHAT,150.0,DHAUBINI
MUGLING,150.0,DHULABARI
MURGIYA,150.0,DHULIKHEL
MUSIKOT,150.0,DHUNCHE
MYANGLUNG BAZAR,150.0,DIKTEL
NAGARKOT,150.0,DIMAN
NARAYANGARH,150.0,DINGLA
NARAYANPUR,50.0,DIPAYAL
NAYAPUL KUSMA,100.0,DODHARA CHADANI
NEPALGUNJ,50.0,DUDHAULI
NEPALTAR ILLAM,100.0,DUDUWA
NIJGADH,100.0,DUHABI
OKHALDHUNGA,50.0,DUIPIPLE
PADAMPUR CHITWAN,100.0,DULEGAUDA
PAHALBANPUR,50.0,DULLU
PALUNGTAR,250.0,DUMARI KALYANPUR
PANAUTI,250.0,DUMKIBAS
PANCHKHAL KAVRE,298.0,DUMRE
PARASI,298.0,DUNAI
PARSA CHITWAN,298.0,DURGAPHAT
PASHUPATINAGAR,225.0,DURGAULI
PATHARI,225.0,EKADARA
PATHLAIYA,250.0,FATTEPUR
PHARSATIKAR,250.0,FATUWA HARSAHA
PHATTEPUR SAPTARI,250.0,FIKKAL
PHIDIM,,GADDA CHAUKI
PHULBARI KAILALI,,GADHAWA
POKHARA,,GAIDAKOT
POKHARIYA,,GAIGHAT
PUNARBAS KANCHANPUR,,GAIR BAZAR
PYUTHAN,300.0,GAJURI
RAJAHAR NAWALPARASI,,GALCHI
RAJAPUR,,GALKOT
RAJBIRAJ,,GALYANG
RAJGADH JHAPA,,GAMGADHI
RAMPUR PALPA,,GANESHPUR KAPILBASTU
RANGELI,,GANESHPUR SIRAHA
RIDI,,GARUDA
RUKUM CHAURJAHARI,,GAUR
RUKUMKOT,,GAURADAHA
SALLERI (SOLU),,GAURIGANJ
SALYAN KHALANGA,,GAUSHALA MAHOTTARI
SAMSHERGUNJ,,GERUWA
SANDHIKHARKA,,GETA
SANFEBAGAR ACHHAM,,GHACHOK
SANISCHARE JHAPA,,GHANDRUK VILLAGE
SANKHU,,GHARTIGAAUN
SARLAHI BAZAR,,GHORAHI
SATTI BAZAR,,GODAK
SIDHUWA DHANKUTA,,GODAWARI
SILGADHI,,GODAWARI KAILALI
SIMARA,,GODETA
SIMIKOT HUMLA,,GOKULESHWOR
SINDHULI,,GOKULGANGA
SIRAHA BAZAR,,GOLBAZAR
SUKKHAD,,GOLTAR
SULICHAUR,,GOOGLI
SUNDAR BAZAR,,GOPETAR
SUNDARIJAL,,GOPIGUNJ JAMUNIYA
SUNWAL,,GORKHA BAZAR
SURKHET,,GORUSINGE
SURUNGA,,GOTHALAPANI
SYANGJA GALYANG,,GULARIYA
SYANGJA PUTALIBAZAR,,HAKPARA
SYANGJA WALING,,HALDIBARI
TAMGHAS,,HALESI
TAMNAGAR,,HANSPUR KATHPULLA
TANDI,,HANUMANNAGR
TANSEN,,HAPURE
TAPLEJUNG BAZAR,,HARAIYA RUPANDEHI
TAULIHAWA,,HARINAGARA
TIKAPUR,,HARINAS TANAHAUN
TINGLA (SOLU),,HARIPUR
TRISHULI,,HARIPURWA
TULSIPUR,,HARIWON
TUMLINGTAR,,HARKAPUR 16 NO
TUTESHWAR MAHOTTARI,,HARNAIYA
URALABARI,,HARNAIYA SIYARI
HEAD OFFICE (KATHMANDU),,HARTHOK
HEAD OFFICE (LALITPUR),,HASULIYA
HEAD OFFICE (BHAKTAPUR),,HATEMALO CHOWK
KALYANPUR SAPTARI,,HATIYA
BODEBARSAIN SAPTARI,,HEKULI
KALABANJAR,,HEMJA
RAMPUR UDAYAPUR,,HETAUDA
PYUTHAN KHALANGA,,HILE
SHREENAGAR SALYAN,,HOLERI
KHURKOT,,ILAM BAZAR
NAUBISE,,INARUWA
KERABARI MORANG,,ITAHARI
KOLHABI BAZAR,,JAGARNATHPUR
SOMBARE MORANG,,JAGATPUR
JHUMKA SUNSARI,,JAHADA
BELDANGI JHAPA,,JAJARKOT KHALANGA
KERKHA JHAPA,,JALBIRE
BHEDETAR SUNSARI,,JALESHWOR
BHANTABARI SUNSARI,,JANAKPUR
SHIVAGUNJ JHAPA,,JANGAL SAHIYA
SHARANMATI JHAPA,,JANGRAHAWA
DARWANG MYAGDI,,JAYANAGAR
RANKE,,JHALARI
MAINAPOKHARI DOLAKHA,,JHAPA BAZAR
NAGDHUNGA,,JHILJHILE
BAHRABISE,,JHUMKA
LELE LALITPUR,,JHYALBAS
DUIPIPLE,,JIRI
BASANTAPUR TERHATHUM,,JITPUR CHARNUMBER
SHANTIPUR GULMI,,JIWAKHOLA
CHANGUNARAYAN BHAKTAPUR,,JOGBUDA
JAYANAGAR BARDIYA,,JOGIKUTI
BALETAXAR,,JOMSOM
JUGEDA KAILALI,,JORPOKHARI
MANGALBARE ILLAM,,JOSHIPUR
SHREE ANTU,,JUGEDA KAILALI
JHAPA BAZAR,,JUGEDI CHITWAN
DASDHUNGA,,JUGLE
KANCHI BAZAR,,JUMLA
JUGEDI CHITWAN,,KADMAHA
PATAN BAITADI,,KAKARBHITTA
BHALWARI RUPANDEHI,,KALABANJAR
BUDOR DOTI,,KALAGAUDI
GOGALI DANG,,KALAIYA
KALYANPUR SIRAHA,,KALANKI
GALCHI,,KALIKAMAI
BHINGRI PYUTHAN,,KALUWAPUR
TARATAL BARDIYA,,KALYANPUR
GAIR SARLAHI,,KAMAL BAZAR
GODAITA SARLAHI,,KANCHIBAJAR
SABAILA DHANUSHA,,KANYAM
YADUKUHA DHANUSHA,,KAPAN
KADMAHA SAPTARI,,KARAIYAMAI
AURAHI MAHOTTARI,,KARSIYA
RAMGOPALPUR,,KATAHARI MORANG
SAMSI MAHOTTARI,,KATAHARIYA
BIRENDRA BAZAR DHANUSHA,,KATARI UDAYAPUR
DHANUSADHAM,,KAUDENA
DHANGADHIMAI SIRAHA,,KAVRESTHALI
SUKHIPUR SIRAHA,,KAWASOTI
HARIPUR SARLAHI,,KERABARI MORANG
PUTALI CHOWK SARLAHI,,KERKHA BAZAR
MAINA POKHAR BARDIYA,,KHADADEVI
IMILIYA KAPILBASTU,,KHAIRAHANI
RUDRAPUR HARAIYA RUPANDEHI,,KHAIRENI RUPANDEHI
RAJARANI DHANKUTA,,KHAJURA
RAMAILO MORANG,,KHAJURI CHANHA
KANEPOKHARI,,KHANDANDA
HANUMANNAGR SAPTARI,,KHANDBARI
TINKORIYA DHANUSHA,,KHANIYAKHARKA
NAGARAIN DHANUSHA,,KHAYARMARA
RAJDEVI RAUTAHAT,,KHIMTI
DAMAR CHOWK RAUTAHAT,,KHORAMUKH
DAIJEE KANCHANPUR,,KHUDI BAZAR
MAHARAJGANJ KAPILBASTU,,KHUDUNABARI
Kathmandu,,KHURKOT
Lalitpur,,KOHALPUR
Bhaktapur,,KOLHABI
,,KOLTI
,,KOTIHAWA
,,KRISHNANAGAR
,,KRISHNANAGAR MADI
,,KRISHNAPUR
,,KRISTI NACHNECHAUR
,,KUNTABESI
,,KURINTAR
,,KUSHMA
,,KUSHMISHERA
,,LABANI
,,LAGMA
,,LAHAN
,,LALBANDI
,,LALJHADI
,,LAMAHI
,,LAMKI
,,LATINATH
,,LAUKAHI
,,LAXMIMARGA
,,LAXMIPUR PATARI
,,LEKHNATH
,,LETANG
,,LIKHU DHOBI
,,LIWANG
,,LOHARPATTI
,,LOKAHA
,,LOTHAR
,,LUBHU
,,LUHAM
,,LUKLA
,,LUMBINI
,,MADHOPUR
,,MADHUMALLA
,,MADI PALPA
,,MAHADEVA
,,MAHARAJGUNJ KAPILBAS
,,MAHASHILA LUNKHU
,,MAHENDRANAGAR
,,MAHESHPUR THUTHIBARI
,,MAHESHWORI
,,MAHOTTARI
,,MAHULI
,,MAINAPOKHARI
,,MAJHAGAWA
,,MAJHGAUN KAMAHARIYA
,,MAJUWA
,,MAKWANPURGADHI
,,MALANGWA
,,MALEKHU
,,MANAHARI
,,MANAKAMANA
,,MANARA
,,MANEBHANJYANG SANK
,,MANGALBARE ILAM
,,MANGALSEN
,,MANIGRAM
,,MANJHARIYA
,,MANMA
,,MANPUR MAINAPOKHAR
,,MANTHALI
,,MARINKHOLA
,,MARPHA MUSTANG
,,MARTADI
,,MASURIYA
,,MATIHANI
,,MATSARI
,,MAULAPUR
,,MEGHAULI
,,MEHELKUNA
,,MELAMCHI
,,MIRCHAIYA
,,MIRMIPHAT
,,MOTIPUR
,,MUKTINATH MUSTANG
,,MUNGLING
,,MURGIYA
,,MUSIKOT
,,MYANGLUNG
,,NADHIMAN
,,NAGARAIN
,,NAGARKOT
,,NALAGAD KALIMATI
,,NAMCHE BAZAR
,,NARAHA
,,NARAINAPUR BANKE
,,NARAYANGHAT
,,NARAYANPUR DANG
,,NAUDANDA KASKI
,,NAUTHAR SERA
,,NAWARAJPUR
,,NAYA BUSPARK
,,NAYA THIMI
,,NEPALGUNJ
,,NEPALTAR ILAM
,,NEPALTAR UDAYAPUR
,,NETACHOWK
,,NEWROAD
,,NIJGADH
,,ODARI
,,OKHALDHUNGA
,,PACHARAUTA
,,PADAMPOKHARI
,,PADAMPUR
,,PAHALMANPUR
,,PAKADI
,,PAKAHA MAINPUR
,,PAKHRIBAS
,,PALUNGTAR
,,PAME
,,PANAUTI
,,PANCHKHAL
,,PANMARA
,,PARASI
,,PARSA SARLAHI
,,PARWANIPUR
,,PASHUPATINAGAR
,,PATAN BAITADI
